Longitude (x),Latitude (y),STATION_NAME,ID,LOCAL_DATE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,Data Quality,MAX_TEMPERATURE,Max Temp Flag,MIN_TEMPERATURE,Min Temp Flag,MEAN_TEMPERATURE,Mean Temp Flag,HEATING_DEGREE_DAYS,Heat Deg Days Flag,COOLING_DEGREE_DAYS,Cool Deg Days Flag,TOTAL_RAIN,Total Rain Flag,TOTAL_SNOW,Total Snow Flag,TOTAL_PRECIPITATION,Total Precip Flag,SNOW_ON_GROUND,Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-78.88,43.92,OSHAWA,6155875,2024-01-01,2024,01,01,,-1.8,,-5.3,,-3.6,,21.6,,0,,,,,,,M,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-01-02,2024,01,02,,1.2,,-2.2,,-0.5,,18.5,,0,,,,,,0,,,,26,,33,
-78.88,43.92,OSHAWA,6155875,2024-01-03,2024,01,03,,2.9,,0,,1.5,,16.5,,0,,,,,,0,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-01-04,2024,01,04,,0.4,,-7.1,,-3.4,,21.4,,0,,,,,,0,,,,31,,46,
-78.88,43.92,OSHAWA,6155875,2024-01-05,2024,01,05,,-0.4,,-3.2,,-1.8,,19.8,,0,,,,,,0,,,,25,,32,
-78.88,43.92,OSHAWA,6155875,2024-01-06,2024,01,06,,-0.3,,-4.8,,-2.6,,20.6,,0,,,,,,0.2,,,,9,,46,
-78.88,43.92,OSHAWA,6155875,2024-01-07,2024,01,07,,-0.5,,-6.5,,-3.5,,21.5,,0,,,,,,0,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-01-08,2024,01,08,,2.9,,-4.5,,-0.8,,18.8,,0,,,,,,0,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-01-09,2024,01,09,,6.4,,0.3,,3.4,,14.6,,0,,,,,,,M,,,9,,59,
-78.88,43.92,OSHAWA,6155875,2024-01-10,2024,01,10,,6.4,,-0.6,,2.9,,15.1,,0,,,,,,,M,,,29,,71,
-78.88,43.92,OSHAWA,6155875,2024-01-11,2024,01,11,,1,,-0.8,,0.1,,17.9,,0,,,,,,2.4,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-01-12,2024,01,12,,2.7,,-4.6,,-1,,19,,0,,,,,,,M,,,8,,61,
-78.88,43.92,OSHAWA,6155875,2024-01-13,2024,01,13,,3.9,,-4.3,,-0.2,,18.2,,0,,,,,,,M,,,26,,65,
-78.88,43.92,OSHAWA,6155875,2024-01-14,2024,01,14,,-2.9,,-11.5,,-7.2,,25.2,,0,,,,,,0,,,,26,,71,
-78.88,43.92,OSHAWA,6155875,2024-01-15,2024,01,15,,-7.7,,-12.9,,-10.3,,28.3,,0,,,,,,0,,,,26,,41,
-78.88,43.92,OSHAWA,6155875,2024-01-16,2024,01,16,,-7.3,,-12.1,,-9.7,,27.7,,0,,,,,,0.2,,,,25,,32,
-78.88,43.92,OSHAWA,6155875,2024-01-17,2024,01,17,,-8.2,,-14.8,,-11.5,,29.5,,0,,,,,,0,,,,25,,48,
-78.88,43.92,OSHAWA,6155875,2024-01-18,2024,01,18,,-4,,-9,,-6.5,,24.5,,0,,,,,,0,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-01-19,2024,01,19,,-7.7,,-15.9,,-11.8,,29.8,,0,,,,,,0,,,,33,,37,
-78.88,43.92,OSHAWA,6155875,2024-01-20,2024,01,20,,-9.9,,-16.2,,-13.1,,31.1,,0,,,,,,0,,,,31,,46,
-78.88,43.92,OSHAWA,6155875,2024-01-21,2024,01,21,,-2.6,,-14.4,,-8.5,,26.5,,0,,,,,,0,,,,25,,33,
-78.88,43.92,OSHAWA,6155875,2024-01-22,2024,01,22,,-0.9,,-7.5,,-4.2,,22.2,,0,,,,,,1.2,,,,23,,45,
-78.88,43.92,OSHAWA,6155875,2024-01-23,2024,01,23,,0.9,,-2.1,,-0.6,,18.6,,0,,,,,,2.4,,,,9,,35,
-78.88,43.92,OSHAWA,6155875,2024-01-24,2024,01,24,,1.8,,-0.8,,0.5,,17.5,,0,,,,,,7.4,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-01-25,2024,01,25,,2.9,,0.9,,1.9,,16.1,,0,,,,,,0,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-01-26,2024,01,26,,4,,1.4,,2.7,,15.3,,0,,,,,,17.2,,,,34,,42,
-78.88,43.92,OSHAWA,6155875,2024-01-27,2024,01,27,,3,,0.7,,1.9,,16.1,,0,,,,,,0,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-01-28,2024,01,28,,3,,0.9,,2,,16,,0,,,,,,0,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-01-29,2024,01,29,,3.7,,-4.2,,-0.3,,18.3,,0,,,,,,0,,,,36,,33,
-78.88,43.92,OSHAWA,6155875,2024-01-30,2024,01,30,,2.1,,-1.6,,0.3,,17.7,,0,,,,,,0,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-01-31,2024,01,31,,4.7,,-0.5,,2.1,,15.9,,0,,,,,,0,,,,21,,39,
-78.88,43.92,OSHAWA,6155875,2024-02-01,2024,02,01,,4.1,,1.9,,3,,15,,0,,,,,,0,,,,22,,32,
-78.88,43.92,OSHAWA,6155875,2024-02-02,2024,02,02,,4.5,,-4.4,,0.1,,17.9,,0,,,,,,0,,,,35,,48,
-78.88,43.92,OSHAWA,6155875,2024-02-03,2024,02,03,,2.6,,-6.9,,-2.2,,20.2,,0,,,,,,0,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-02-04,2024,02,04,,3.4,,-6.2,,-1.4,,19.4,,0,,,,,,0,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-02-05,2024,02,05,,4.3,,-5.7,,-0.7,,18.7,,0,,,,,,0,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-02-06,2024,02,06,,3.8,,-7.5,,-1.9,,19.9,,0,,,,,,0,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-02-07,2024,02,07,,4,,-5.6,,-0.8,,18.8,,0,,,,,,0,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-02-08,2024,02,08,,7.2,,-1.6,,2.8,,15.2,,0,,,,,,0,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-02-09,2024,02,09,,14.4,,0.9,,7.7,,10.3,,0,,,,,,0.5,,,,20,,37,
-78.88,43.92,OSHAWA,6155875,2024-02-10,2024,02,10,,8.6,,-0.8,,3.9,,14.1,,0,,,,,,0,,,,31,,41,
-78.88,43.92,OSHAWA,6155875,2024-02-11,2024,02,11,,2.3,,0.7,,1.5,,16.5,,0,,,,,,0,,,,31,,45,
-78.88,43.92,OSHAWA,6155875,2024-02-12,2024,02,12,,3.2,,-6.4,,-1.6,,19.6,,0,,,,,,0,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-02-13,2024,02,13,,2.2,,-7.8,,-2.8,,20.8,,0,,,,,,0.4,,,,31,,58,
-78.88,43.92,OSHAWA,6155875,2024-02-14,2024,02,14,,-0.6,,-10,,-5.3,,23.3,,0,,,,,,0,,,,31,,42,
-78.88,43.92,OSHAWA,6155875,2024-02-15,2024,02,15,,-0.3,,-11,,-5.7,,23.7,,0,,,,,,3.9,,,,29,,54,
-78.88,43.92,OSHAWA,6155875,2024-02-16,2024,02,16,,-0.7,,-5.8,,-3.3,,21.3,,0,,,,,,0.2,,,,30,,52,
-78.88,43.92,OSHAWA,6155875,2024-02-17,2024,02,17,,-5.2,,-9.9,,-7.6,,25.6,,0,,,,,,0,,,,29,,48,
-78.88,43.92,OSHAWA,6155875,2024-02-18,2024,02,18,,0.2,,-6.7,,-3.3,,21.3,,0,,,,,,0.2,,,,31,,63,
-78.88,43.92,OSHAWA,6155875,2024-02-19,2024,02,19,,-2.6,,-16.7,,-9.7,,27.7,,0,,,,,,0,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-02-20,2024,02,20,,2.5,,-12.7,,-5.1,,23.1,,0,,,,,,0,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-02-21,2024,02,21,,6.5,,-3.1,,1.7,,16.3,,0,,,,,,0,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-02-22,2024,02,22,,10.1,,-3.1,,3.5,,14.5,,0,,,,,,0,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-02-23,2024,02,23,,10.3,,-8.2,,1.1,,16.9,,0,,,,,,0,,,,31,,46,
-78.88,43.92,OSHAWA,6155875,2024-02-24,2024,02,24,,-4.7,,-13.4,,-9.1,,27.1,,0,,,,,,0,,,,31,,39,
-78.88,43.92,OSHAWA,6155875,2024-02-25,2024,02,25,,3.5,,-12,,-4.3,,22.3,,0,,,,,,0,,,,20,,50,
-78.88,43.92,OSHAWA,6155875,2024-02-26,2024,02,26,,8.1,,-4.2,,2,,16,,0,,,,,,0,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-02-27,2024,02,27,,13.4,,-0.5,,6.5,,11.5,,0,,,,,,11.1,,,,22,,48,
-78.88,43.92,OSHAWA,6155875,2024-02-28,2024,02,28,,14.3,,-6.1,,4.1,,13.9,,0,,,,,,6.5,,,,29,,76,
-78.88,43.92,OSHAWA,6155875,2024-02-29,2024,02,29,,-3.4,,-10.5,,-7,,25,,0,,,,,,0,,,,35,,41,
-78.88,43.92,OSHAWA,6155875,2024-03-01,2024,03,01,,8,,-7.3,,0.4,,17.6,,0,,,,,,0,,,,21,,41,
-78.88,43.92,OSHAWA,6155875,2024-03-02,2024,03,02,,6,,2.8,,4.4,,13.6,,0,,,,,,0.4,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-03-03,2024,03,03,,7.6,,4.1,,5.9,,12.1,,0,,,,,,0,,,,10,,33,
-78.88,43.92,OSHAWA,6155875,2024-03-04,2024,03,04,,16.2,,4.1,,10.2,,7.8,,0,,,,,,0,,,,11,,35,
-78.88,43.92,OSHAWA,6155875,2024-03-05,2024,03,05,,16.2,,1.7,,9,,9,,0,,,,,,0.6,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-03-06,2024,03,06,,8.3,,3.2,,5.8,,12.2,,0,,,,,,0,,,,1,,37,
-78.88,43.92,OSHAWA,6155875,2024-03-07,2024,03,07,,10.4,,-2.7,,3.9,,14.1,,0,,,,,,0,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-03-08,2024,03,08,,10.5,,1.6,,6.1,,11.9,,0,,,,,,0,,,,10,,45,
-78.88,43.92,OSHAWA,6155875,2024-03-09,2024,03,09,,8.6,,3,,5.8,,12.2,,0,,,,,,22.2,,,,22,,35,
-78.88,43.92,OSHAWA,6155875,2024-03-10,2024,03,10,,3.1,,-2.7,,0.2,,17.8,,0,,,,,,0,,,,33,,72,
-78.88,43.92,OSHAWA,6155875,2024-03-11,2024,03,11,,7.5,,-3.1,,2.2,,15.8,,0,,,,,,0,,,,28,,61,
-78.88,43.92,OSHAWA,6155875,2024-03-12,2024,03,12,,12.2,,-4.1,,4.1,,13.9,,0,,,,,,0,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-03-13,2024,03,13,,18.1,,-0.3,,8.9,,9.1,,0,,,,,,0,,,,30,,35,
-78.88,43.92,OSHAWA,6155875,2024-03-14,2024,03,14,,11.6,,-0.5,,5.6,,12.4,,0,,,,,,14.3,,,,7,,35,
-78.88,43.92,OSHAWA,6155875,2024-03-15,2024,03,15,,10.8,,-0.1,,5.4,,12.6,,0,,,,,,0,,,,36,,32,
-78.88,43.92,OSHAWA,6155875,2024-03-16,2024,03,16,,7.7,,-0.3,,3.7,,14.3,,0,,,,,,1.4,,,,27,,61,
-78.88,43.92,OSHAWA,6155875,2024-03-17,2024,03,17,,6.5,,-0.8,,2.9,,15.1,,0,,,,,,0.2,,,,29,,48,
-78.88,43.92,OSHAWA,6155875,2024-03-18,2024,03,18,,3.2,,-2,,0.6,,17.4,,0,,,,,,0,,,,30,,46,
-78.88,43.92,OSHAWA,6155875,2024-03-19,2024,03,19,,0.9,,-1.9,,-0.5,,18.5,,0,,,,,,1.9,,,,22,,41,
-78.88,43.92,OSHAWA,6155875,2024-03-20,2024,03,20,,0.6,,-6.6,,-3,,21,,0,,,,,,0,,,,27,,68,
-78.88,43.92,OSHAWA,6155875,2024-03-21,2024,03,21,,-1.9,,-8.4,,-5.2,,23.2,,0,,,,,,0,,,,29,,52,
-78.88,43.92,OSHAWA,6155875,2024-03-22,2024,03,22,,-3.5,,-10.1,,-6.8,,24.8,,0,,,,,,2.6,,,,9,,33,
-78.88,43.92,OSHAWA,6155875,2024-03-23,2024,03,23,,2.4,,-9.5,,-3.6,,21.6,,0,,,,,,0,,,,30,,42,
-78.88,43.92,OSHAWA,6155875,2024-03-24,2024,03,24,,1,,-9.8,,-4.4,,22.4,,0,,,,,,0,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-03-25,2024,03,25,,9.1,,-2.8,,3.2,,14.8,,0,,,,,,0,,,,9,,50,
-78.88,43.92,OSHAWA,6155875,2024-03-26,2024,03,26,,10.6,,4.5,,7.6,,10.4,,0,,,,,,6,,,,10,,42,
-78.88,43.92,OSHAWA,6155875,2024-03-27,2024,03,27,,10.3,,3,,6.7,,11.3,,0,,,,,,1.2,,,,22,,55,
-78.88,43.92,OSHAWA,6155875,2024-03-28,2024,03,28,,8.2,,-2.4,,2.9,,15.1,,0,,,,,,0,,,,19,,37,
-78.88,43.92,OSHAWA,6155875,2024-03-29,2024,03,29,,6.6,,-3.4,,1.6,,16.4,,0,,,,,,0,,,,31,,46,
-78.88,43.92,OSHAWA,6155875,2024-03-30,2024,03,30,,6.5,,-3,,1.8,,16.2,,0,,,,,,0,,,,32,,42,
-78.88,43.92,OSHAWA,6155875,2024-03-31,2024,03,31,,7.6,,0.6,,4.1,,13.9,,0,,,,,,0,,,,21,,32,
-78.88,43.92,OSHAWA,6155875,2024-04-01,2024,04,01,,12.6,,1.9,,7.3,,10.7,,0,,,,,,0,,,,8,,33,
-78.88,43.92,OSHAWA,6155875,2024-04-02,2024,04,02,,10.3,,4.9,,7.6,,10.4,,0,,,,,,1.4,,,,8,,71,
-78.88,43.92,OSHAWA,6155875,2024-04-03,2024,04,03,,5.7,,0.4,,3.1,,14.9,,0,,,,,,42.9,,,,10,,72,
-78.88,43.92,OSHAWA,6155875,2024-04-04,2024,04,04,,3.1,,0.4,,1.8,,16.2,,0,,,,,,2.5,,,,8,,45,
-78.88,43.92,OSHAWA,6155875,2024-04-05,2024,04,05,,7.4,,0.3,,3.9,,14.1,,0,,,,,,0,,,,32,,45,
-78.88,43.92,OSHAWA,6155875,2024-04-06,2024,04,06,,13.3,,3,,8.2,,9.8,,0,,,,,,0,,,,32,,50,
-78.88,43.92,OSHAWA,6155875,2024-04-07,2024,04,07,,14.7,,-0.4,,7.2,,10.8,,0,,,,,,0,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-04-08,2024,04,08,,12.1,,0,,6.1,,11.9,,0,,,,,,0,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-04-09,2024,04,09,,19.9,,0.1,,10,,8,,0,,,,,,1.3,,,,11,,42,
-78.88,43.92,OSHAWA,6155875,2024-04-10,2024,04,10,,18,,7,,12.5,,5.5,,0,,,,,,0.2,,,,29,,32,
-78.88,43.92,OSHAWA,6155875,2024-04-11,2024,04,11,,14,,7.7,,10.9,,7.1,,0,,,,,,29.9,,,,10,,48,
-78.88,43.92,OSHAWA,6155875,2024-04-12,2024,04,12,,14.2,,3.8,,9,,9,,0,,,,,,17.7,,,,21,,61,
-78.88,43.92,OSHAWA,6155875,2024-04-13,2024,04,13,,11,,3.7,,7.4,,10.6,,0,,,,,,1.4,,,,32,,72,
-78.88,43.92,OSHAWA,6155875,2024-04-14,2024,04,14,,14.7,,5.3,,10,,8,,0,,,,,,7.2,,,,,M,,M
-78.88,43.92,OSHAWA,6155875,2024-04-15,2024,04,15,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-04-16,2024,04,16,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-04-17,2024,04,17,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-04-18,2024,04,18,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-04-19,2024,04,19,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-04-20,2024,04,20,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-04-21,2024,04,21,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-04-22,2024,04,22,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-04-23,2024,04,23,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-04-24,2024,04,24,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-04-25,2024,04,25,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-04-26,2024,04,26,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-04-27,2024,04,27,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-04-28,2024,04,28,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-04-29,2024,04,29,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-04-30,2024,04,30,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-01,2024,05,01,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-02,2024,05,02,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-03,2024,05,03,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-04,2024,05,04,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-05,2024,05,05,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-06,2024,05,06,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-07,2024,05,07,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-08,2024,05,08,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-09,2024,05,09,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-10,2024,05,10,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-11,2024,05,11,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-12,2024,05,12,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-13,2024,05,13,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-14,2024,05,14,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-15,2024,05,15,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-16,2024,05,16,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-17,2024,05,17,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-18,2024,05,18,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-19,2024,05,19,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-20,2024,05,20,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-21,2024,05,21,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-22,2024,05,22,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-23,2024,05,23,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-24,2024,05,24,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-25,2024,05,25,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-26,2024,05,26,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-27,2024,05,27,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-28,2024,05,28,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-29,2024,05,29,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-30,2024,05,30,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-05-31,2024,05,31,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-01,2024,06,01,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-02,2024,06,02,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-03,2024,06,03,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-04,2024,06,04,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-05,2024,06,05,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-06,2024,06,06,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-07,2024,06,07,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-08,2024,06,08,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-09,2024,06,09,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-10,2024,06,10,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-11,2024,06,11,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-12,2024,06,12,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-13,2024,06,13,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-14,2024,06,14,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-15,2024,06,15,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-16,2024,06,16,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-17,2024,06,17,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-18,2024,06,18,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-19,2024,06,19,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-20,2024,06,20,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-21,2024,06,21,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-22,2024,06,22,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-23,2024,06,23,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-24,2024,06,24,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-25,2024,06,25,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-26,2024,06,26,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-27,2024,06,27,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-28,2024,06,28,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-29,2024,06,29,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-06-30,2024,06,30,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-01,2024,07,01,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-02,2024,07,02,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-03,2024,07,03,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-04,2024,07,04,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-05,2024,07,05,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-06,2024,07,06,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-07,2024,07,07,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-08,2024,07,08,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-09,2024,07,09,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-10,2024,07,10,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-11,2024,07,11,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-12,2024,07,12,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-13,2024,07,13,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-14,2024,07,14,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-15,2024,07,15,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-16,2024,07,16,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-17,2024,07,17,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-18,2024,07,18,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-19,2024,07,19,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-20,2024,07,20,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-21,2024,07,21,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-22,2024,07,22,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-23,2024,07,23,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-24,2024,07,24,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-25,2024,07,25,,,,,,,,,,,,,,,,,,,,,,,
-78.88,43.92,OSHAWA,6155875,2024-07-26,2024,07,26,,,,,,,,,,,,,,,,,,,,,,,
